,0,1,accuracy,macro avg,weighted avg
precision,0.775,0.8448275862068966,0.8043478260869565,0.8099137931034484,0.8089017991004498
recall,0.8732394366197183,0.7313432835820896,0.8043478260869565,0.8022913601009038,0.8043478260869565
f1-score,0.8211920529801324,0.784,0.8043478260869565,0.8025960264900662,0.8031350417506479
support,71.0,67.0,0.8043478260869565,138.0,138.0
